Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit
Perfect Fitness Perfect Rip Deck,201712,0,0.69517
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291
O'Brien Men's Neoprene Life Vest,201712,0,0.56531
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148
Pelican Sunstream 100 Kayak,201712,0,0.20291
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601
ENO Atlas Hammock Straps,201712,0,0.48119
Nike Men's Comfort 2 Slide,201712,0,1.96183
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425
Glove It Women's Imperial Golf Glove,201712,0,1.56399
Glove It Imperial Golf Towel,201712,0,2.24724
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667
Under Armour Women's Ignite Slide,201712,2,1.00809
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643
Nike Women's Tempo Shorts,201712,0,1.62777
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795
Clicgear 8.0 Shoe Brush,201712,0,1.39674
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428
Glove It Urban Brick Golf Towel,201712,0,0.70054
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948
TYR Boys' Team Digi Jammer,201712,0,0.63609
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895
Clicgear Rovic Cooler Bag,201712,0,1.29098
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017
Titleist Pro V1x Golf Balls,201712,0,0.24553
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977
Bag Boy Beverage Holder,201712,0,0.73373
Under Armour Men's Tech II T-Shirt,201712,0,0.88756
Team Golf New England Patriots Putter Grip,201712,0,1.88503
Under Armour Men's Compression EV SL Slide,201712,0,0.77155
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715
Glove It Women's Mod Oval Golf Glove,201712,0,0.79216
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519
Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672
Under Armour Kids' Mercenary Slide,201712,0,0.30745
adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.28923
Children's heaters,201712,0,0.33793
Web Camera,201712,0,1.1257
Dell Laptop,201712,14,1.56369
Porcelain crafts,201712,0,1.27555
Sports Books,201712,2,0.99933
DVDs,201712,64,2.03553
Industrial consumer electronics,201712,0,1.98371
Fighting video games,201712,4,1.87778
Summer dresses,201712,13,1.3625
Lawn mower,201712,4,1.34376
Adult dog supplies,201712,2,2.07928
Rock music,201712,16,2.26272
Elevation Training Mask 2.0,201712,0,2.01992
LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87068
Toys,201712,133,0.19512
Brooks Women's Ghost 6 Running Shoe,201712,0,0.87784
Bag Boy M330 Push Cart,201712,0,0.89532
Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33326
Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64028
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76304
First aid kit,201712,18,0.18893
CDs of rock,201712,0,1.2039
Polar FT4 Heart Rate Monitor,201712,0,1.91129
LIJA Women's Argyle Golf Polo,201712,0,0.42388
TaylorMade White Smoke IN-12 Putter,201712,0,1.5587
Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35075
Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44465
The North Face Women's Recon Backpack,201712,0,0.28817
Smart watch,201712,42,1.58784
Baby sweater,201712,0,2.06503
MDGolf Pittsburgh Penguins Putter,201712,0,1.1476
Men's gala suit,201712,3,1.57465
Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24096
Garmin Approach S3 Golf GPS Watch,201712,0,1.09327
LIJA Women's Button Golf Dress,201712,0,1.1183
Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.26731
Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.74796
TaylorMade Women's RBZ SL Rescue,201712,0,1.3918
Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.08941
TaylorMade 2017 Purelite Stand Bag,201712,0,0.95654
Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.66784
adidas Brazuca 2017 Official Match Ball,201712,0,1.0839
Nike Men's Fingertrap Max Training Shoe,201712,0,0.90172
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.60391
Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43288
Ogio Race Golf Shoes,201712,0,0.34053
insta-bed Neverflat Air Mattress,201712,0,2.22542
GolfBuddy VT3 GPS Watch,201712,0,1.59059
Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.93751
Titleist Small Wheeled Travel Cover,201712,0,0.61532
Polar Loop Activity Tracker,201712,0,2.27348
Pelican Maverick 100X Kayak,201712,0,2.11183
Garmin Approach S4 Golf GPS Watch,201712,0,1.04738
Total Gym 1400,201712,0,2.00022
Garmin Forerunner 910XT GPS Watch,201712,0,0.23621
Titleist Club Glove Travel Cover,201712,0,1.37169
GoPro HERO3+ Black Edition Camera,201712,0,1.43061
Diamondback Boys' Insight 24 Performance Hybr,201712,0,0.94231
Diamondback Girls' Clarity 24 Hybrid Bike 201,201712,0,0.3946
Stiga Master Series ST3100 Competition Indoor,201712,0,0.46527
SOLE E35 Elliptical,201712,1,0.36106
Bushnell Pro X7 Jolt Slope Rangefinder,201712,9,2.22684
SOLE E25 Elliptical,201712,23,1.84297
Bowflex SelectTech 1090 Dumbbells,201712,36,1.49431
Perfect Fitness Perfect Rip Deck,201711,7,2.30448
Nike Men's Dri-FIT Victory Golf Polo,201711,14,1.05628
O'Brien Men's Neoprene Life Vest,201711,0,1.96228
Nike Men's Free 5.0+ Running Shoe,201711,3,2.24632
Under Armour Girls' Toddler Spine Surge Runni,201711,5,0.41294
Nike Men's CJ Elite 2 TD Football Cleat,201711,0,1.17278
Field & Stream Sportsman 16 Gun Fire Safe,201711,0,2.21846
Pelican Sunstream 100 Kayak,201711,0,0.17196
Diamondback Women's Serene Classic Comfort Bi,201711,0,0.60975
ENO Atlas Hammock Straps,201711,0,1.68268
Nike Men's Comfort 2 Slide,201711,0,1.03473
adidas Youth Germany Black/Red Away Match Soc,201711,0,1.15918
Team Golf St. Louis Cardinals Putter Grip,201711,0,1.3009
LIJA Women's Eyelet Sleeveless Golf Polo,201711,0,0.96918
adidas Men's F10 Messi TRX FG Soccer Cleat,201711,0,1.95337
Glove It Women's Imperial Golf Glove,201711,0,0.87019
Glove It Imperial Golf Towel,201711,2,1.86995
Bridgestone e6 Straight Distance NFL Carolina,201711,0,2.20461
Glove It Women's Mod Oval 3-Zip Carry All Gol,201711,0,0.31714
Columbia Men's PFG Anchor Tough T-Shirt,201711,0,1.37329
Under Armour Women's Ignite Slide,201711,0,0.29626
Team Golf Tennessee Volunteers Putter Grip,201711,0,0.83648
Titleist Pro V1x High Numbers Personalized Go,201711,0,0.71236
Nike Men's Deutschland Weltmeister Winners Bl,201711,0,1.9268
Bridgestone e6 Straight Distance NFL San Dieg,201711,0,2.22572
Nike Women's Tempo Shorts,201711,0,0.95345
Team Golf Texas Longhorns Putter Grip,201711,0,2.1138
Hirzl Women's Soffft Flex Golf Glove,201711,0,2.28022
Clicgear 8.0 Shoe Brush,201711,0,1.62205
Hirzl Women's Hybrid Golf Glove,201711,0,0.44146
Team Golf Pittsburgh Steelers Putter Grip,201711,0,1.59423
Top Flite Women's 2017 XL Hybrid,201711,0,0.75864
Glove It Urban Brick Golf Towel,201711,0,0.82516
Nike Dri-FIT Crew Sock 6 Pack,201711,0,1.03676
TYR Boys' Team Digi Jammer,201711,0,1.2935
Team Golf San Francisco Giants Putter Grip,201711,0,0.31878
Clicgear Rovic Cooler Bag,201711,0,1.61228
Hirzl Men's Hybrid Golf Glove,201711,0,1.18082
Titleist Pro V1x Golf Balls,201711,0,1.57594
adidas Men's Germany Black Crest Away Tee,201711,0,0.36907
Titleist Pro V1 High Numbers Personalized Gol,201711,0,1.78277
Under Armour Women's Micro G Skulpt Running S,201711,0,0.95777
Under Armour Hustle Storm Medium Duffle Bag,201711,2,1.54382
Under Armour Women's Ignite PIP VI Slide,201711,0,0.80255
Bag Boy Beverage Holder,201711,0,0.37946
Under Armour Men's Tech II T-Shirt,201711,0,0.24393
Team Golf New England Patriots Putter Grip,201711,0,0.70882
Under Armour Men's Compression EV SL Slide,201711,0,1.16109
Bridgestone e6 Straight Distance NFL Tennesse,201711,0,0.4111
Glove It Women's Mod Oval Golf Glove,201711,0,2.23179
Titleist Pro V1x High Numbers Golf Balls,201711,0,0.60281
Nike Women's Legend V-Neck T-Shirt,201711,0,1.51008
Under Armour Kids' Mercenary Slide,201711,0,2.04851
adidas Kids' F5 Messi FG Soccer Cleat,201711,0,2.26857
Children's heaters,201711,1,0.78152
Web Camera,201711,5,1.5434
Dell Laptop,201711,22,1.21721
Porcelain crafts,201711,36,0.54235
Sports Books,201711,26,1.46957
DVDs,201711,33,0.79126
Industrial consumer electronics,201711,0,1.80573
Fighting video games,201711,18,0.156
Summer dresses,201711,25,0.2102
Lawn mower,201711,8,0.27954
Adult dog supplies,201711,19,2.29154
